Employee name,Email,Date of join,Password
James Walker,jamesfct1@yopmail.com,05-06-2016,FCT0001
Velma Clemons,velmafct1@yopmail.com,05-06-2016,FCT0002
Kibo Underwood,kibofct1@yopmail.com,06-06-2016,FCT0003
Louis Mcgee,louisfct1@yopmail.com,05-06-2016,FCT0004
Phyllis Paul,phyllisfct1@yopmail.com,05-06-2016,FCT0005
Zenaida Decker,zenaidafct1@yopmail.com,06-06-2016,FCT0006
Gillian Tillman,gillianfct1@yopmail.com,07-06-2016,FCT0007
Constance Boone,boonefct1@yopmail.com,05-06-2016,FCT0008
Giselle Lancaster,gisellefct1@yopmail.com,05-06-2016,FCT0009
Kirsten Mcdowell,kirstenfct1@yopmail.com,05-06-2016,FCT0010
